id,track_name,artist_name,album_name,album_cover,release_date,preview_link,spotify_link,playlist_mood,name,length,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,timeSignature
59BoB64SnmEA40zVsKVmND,Skylark,Mark Turner,Ballad Session,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273b8e7267f8e939160b802c4d5', 'width': 640}",2000,https://p.scdn.co/mp3-preview/2f2676e76eb3ffef3a195c018e1830eec1ad7b8a?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/59BoB64SnmEA40zVsKVmND,Delighted,Skylark,0 days 00:05:55.600000,0.927,0.477,0.0775,0.253,0.112,-19.338,0.0481,115.488,0.205,4.0
3jiTehDiPwfIxr9MHfPUvb,The Beauty of Everyday Things,Hara Noda,The Beauty of Everyday Things,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2736f0549dad24e40ee4e2e611c', 'width': 640}",2021-12-31,https://p.scdn.co/mp3-preview/49c7224ab4ca1e56db8aa8731553cf1f1474aeae?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/3jiTehDiPwfIxr9MHfPUvb,Delighted,The Beauty of Everyday Things,0 days 00:03:23.097000,0.965,0.643,0.28,0.867,0.107,-13.774,0.0332,108.046,0.0865,4.0
2JncPNDwT04u0FhWxfJbi5,Don't Explain,Helen Merrill,Helen Merill,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273f83ec4c71c609a7c37b19f38', 'width': 640}",1955-01-01,,https://open.spotify.com/track/2JncPNDwT04u0FhWxfJbi5,Delighted,Don't Explain,0 days 00:05:14.040000,0.944,0.343,0.0568,0.000667,0.117,-19.323,0.045,172.374,0.14,3.0
5bEppYZOTIQJdaMzlj22oD,Asleep in Your Arms,Nicole Liszt,Asleep in Your Arms,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27321e3a9c6a613b53ba0a5c598', 'width': 640}",2021-12-12,https://p.scdn.co/mp3-preview/75a8b8f8dd3231fd63c039d699b82dc8de3757be?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/5bEppYZOTIQJdaMzlj22oD,Delighted,Asleep in Your Arms,0 days 00:03:51.671000,0.939,0.408,0.112,0.776,0.0942,-18.392,0.0295,86.857,0.0544,4.0
2p0MYtfsZq2Rz6yd1WUXAA,I Sing This Song for You,Juraj Stanik Trio,Inside Out,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27376c37f9feddfec49753f95d6', 'width': 640}",2020-06-12,https://p.scdn.co/mp3-preview/ff3e9ce51de70f67a26e55cb8feb6fc55ad01247?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/2p0MYtfsZq2Rz6yd1WUXAA,Delighted,I Sing This Song for You,0 days 00:04:38.667000,0.956,0.413,0.0771,0.694,0.257,-22.29,0.0381,124.912,0.099,4.0
40ydDb82UYQzcZlqNsVj7N,Stillness,KTZ Players,Stillness,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2737e19ccd947bb5e2173022c4e', 'width': 640}",2020-09-11,https://p.scdn.co/mp3-preview/3cc678fc6d8eb2e383568f7f1283ad31cdcbf50f?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/40ydDb82UYQzcZlqNsVj7N,Delighted,Stillness,0 days 00:02:47.271000,0.912,0.533,0.0492,0.862,0.119,-19.517,0.0319,96.842,0.166,4.0
5jU0M5C3puyWnDvrd27RSP,Intangible,Coal Diamond Trio,Intangible,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27308e3e0b24f6328f9838f34eb', 'width': 640}",2021-11-07,https://p.scdn.co/mp3-preview/c1a26875494ca855e22c4dd6a565e5a24bc06935?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/5jU0M5C3puyWnDvrd27RSP,Delighted,Intangible,0 days 00:05:02.645000,0.972,0.423,0.116,0.433,0.111,-17.882,0.0326,81.501,0.1,4.0
6xr1Bpd6LXKLAWxE5JDOeN,Looking Back Again,"['Leo Sherman', 'Paul Jones', 'Alex Goodman', 'Ben Winkelman', 'Dan Pugach']",Tonewheel,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27313954ec5f04efd40cca73e16', 'width': 640}",2019-10-25,https://p.scdn.co/mp3-preview/99493ac436e8b4e476fbf01d3d021a234023dfa3?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/6xr1Bpd6LXKLAWxE5JDOeN,Delighted,Looking Back Again,0 days 00:05:50.912000,0.962,0.412,0.174,0.928,0.0996,-15.854,0.0319,84.143,0.198,4.0
04OlOJOsWy6RUWgyhixoqk,In Another Universe,Lachlan Wright Trio,In Another Universe,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27395971a196af2d57281adb2d1', 'width': 640}",2022-01-02,https://p.scdn.co/mp3-preview/a391e0d977e5d2034934c081dbd91266649580e6?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/04OlOJOsWy6RUWgyhixoqk,Delighted,In Another Universe,0 days 00:02:56.730000,0.849,0.453,0.142,0.0316,0.171,-19.092,0.0297,82.818,0.0859,4.0
3fBmnCqZDjKoPXRDv8Mm0P,This Is Always,"['Champian Fulton', 'Fukushi Tainaka', 'Hide Tanaka', 'Scott Hamilton']",Birdsong,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2733a30105d772c22f8d00ec56b', 'width': 640}",2020-08-28,https://p.scdn.co/mp3-preview/8d2a1ec00ff49aa95b9528b0ba03adcaf4acb1b3?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/3fBmnCqZDjKoPXRDv8Mm0P,Delighted,This Is Always,0 days 00:05:32,0.964,0.572,0.0894,0.029,0.131,-16.96,0.0372,112.53,0.3,4.0
